order_id,order_datetime,channel,platform,payment_method,customer_id,subtotal_sgd,shipping_fee_sgd,gst_sgd,grand_total_sgd
ORD100001,2019-01-01 12:59,Shopee,Shopee,Atome,CUST101370,1.73,0,0.12,1.85
ORD100003,2019-01-01 20:22,Shopee,Shopee,PayNow,CUST102726,31.52,0,2.21,33.73
ORD100006,2019-01-01 14:57,Lazada,Lazada,GrabPay,CUST103095,16.88,0,1.18,18.06
ORD100008,2019-01-01 10:48,Website,Website,Credit Card,CUST100561,1.35,3,0.3,4.65
ORD100012,2019-01-01 11:13,Lazada,Lazada,ShopeePay,CUST104714,29.14,3,2.25,34.39
ORD100013,2019-01-01 20:48,Shopee,Shopee,GrabPay,CUST103508,13.34,3,1.14,17.48
ORD100014,2019-01-01 17:53,Website,Website,Credit Card,CUST104821,21.18,3.9,1.76,26.84
ORD100017,2019-01-01 11:23,Shopee,Shopee,Atome,CUST101901,11.82,2.5,1,15.32
ORD100018,2019-01-01 12:07,Lazada,Lazada,ShopeePay,CUST100109,13,3,1.12,17.12
ORD100023,2019-01-01 10:00,GrabMart,GrabMart,ShopeePay,CUST104571,20.58,3.9,1.71,26.19
ORD100025,2019-01-01 21:53,Lazada,Lazada,Atome,CUST103346,5.9,0,0.41,6.31
ORD100028,2019-01-02 18:47,Lazada,Lazada,Atome,CUST104830,5.62,2.5,0.57,8.69
ORD100029,2019-01-02 10:29,Lazada,Lazada,Atome,CUST101730,16.26,2.5,1.31,20.07
ORD100031,2019-01-02 13:52,Lazada,Lazada,PayNow,CUST100864,5.51,0,0.39,5.9
ORD100032,2019-01-02 19:01,Lazada,Lazada,Credit Card,CUST102961,6.04,0,0.42,6.46
ORD100033,2019-01-02 13:42,FairPrice_Online,FairPrice_Online,ShopeePay,CUST100341,9.28,3,0.86,13.14
ORD100034,2019-01-02 19:40,Shopee,Shopee,PayNow,CUST104548,18.01,3,1.47,22.48
ORD100041,2019-01-02 11:32,Lazada,Lazada,ShopeePay,CUST100719,2,0,0.14,2.14
ORD100042,2019-01-02 11:23,Lazada,Lazada,PayNow,CUST101104,11.51,0,0.81,12.32
ORD100044,2019-01-02 20:32,Shopee,Shopee,Credit Card,CUST104570,7.32,0,0.51,7.83
ORD100046,2019-01-02 21:50,Shopee,Shopee,Atome,CUST100748,10,3,0.91,13.91
ORD100047,2019-01-02 11:00,Shopee,Shopee,ShopeePay,CUST102060,0.64,2.5,0.22,3.36
ORD100051,2019-01-02 18:26,Shopee,Shopee,Credit Card,CUST101591,3.2,3.9,0.5,7.6
ORD100052,2019-01-02 12:18,Shopee,Shopee,GrabPay,CUST103722,11.24,3.9,1.06,16.2
ORD100054,2019-01-02 17:06,Shopee,Shopee,Credit Card,CUST100414,31.23,2.5,2.36,36.09
ORD100055,2019-01-02 15:53,Shopee,Shopee,Credit Card,CUST102690,5.98,3.9,0.69,10.57
ORD100057,2019-01-02 17:59,Lazada,Lazada,Credit Card,CUST100589,7.8,0,0.55,8.35
ORD100058,2019-01-02 12:07,Shopee,Shopee,Atome,CUST102197,8.75,0,0.61,9.36
ORD100063,2019-01-03 14:36,Shopee,Shopee,PayNow,CUST100245,43,0,3.01,46.01
ORD100066,2019-01-03 15:02,Shopee,Shopee,Atome,CUST103807,10,3,0.91,13.91
ORD100067,2019-01-03 17:09,Shopee,Shopee,PayNow,CUST104101,5.16,3,0.57,8.73
ORD100068,2019-01-03 12:09,GrabMart,GrabMart,GrabPay,CUST104967,3.54,2.5,0.42,6.46
ORD100070,2019-01-03 14:22,Website,Website,GrabPay,CUST100673,3,3.9,0.48,7.38
ORD100071,2019-01-03 21:12,Website,Website,ShopeePay,CUST101236,5.35,0,0.37,5.72
ORD100075,2019-01-03 15:22,Shopee,Shopee,Credit Card,CUST102094,27.25,0,1.91,29.16
ORD100076,2019-01-03 12:23,Website,Website,Atome,CUST100387,3.46,3,0.45,6.91
ORD100078,2019-01-03 19:21,Lazada,Lazada,GrabPay,CUST104951,21.68,2.5,1.69,25.87
ORD100080,2019-01-03 18:11,Lazada,Lazada,GrabPay,CUST103087,13.37,2.5,1.11,16.98
ORD100081,2019-01-04 09:13,Website,Website,Atome,CUST102248,8.19,3,0.78,11.97
ORD100084,2019-01-04 14:05,Shopee,Shopee,Credit Card,CUST102506,4.28,0,0.3,4.58
ORD100085,2019-01-04 19:15,Shopee,Shopee,Credit Card,CUST104573,0.54,2.5,0.21,3.25
ORD100086,2019-01-04 10:09,Shopee,Shopee,ShopeePay,CUST100498,19.33,3,1.56,23.89
ORD100088,2019-01-04 09:05,Lazada,Lazada,Credit Card,CUST102194,15.6,0,1.09,16.69
ORD100089,2019-01-04 21:30,Website,Website,PayNow,CUST102072,8.34,2.5,0.76,11.6
ORD100091,2019-01-04 13:25,Shopee,Shopee,PayNow,CUST101049,18.01,0,1.26,19.27
ORD100092,2019-01-04 12:20,Website,Website,ShopeePay,GUEST1097,1.12,0,0.08,1.2
ORD100098,2019-01-04 20:11,Shopee,Shopee,GrabPay,CUST101522,26.74,0,1.87,28.61
ORD100099,2019-01-04 10:38,Shopee,Shopee,Credit Card,CUST103830,15.24,0,1.07,16.31
ORD100101,2019-01-04 16:09,RedMart,RedMart,Atome,CUST102487,9.48,2.5,0.84,12.82
ORD100102,2019-01-04 11:27,Shopee,Shopee,ShopeePay,CUST100975,3.12,3.9,0.49,7.51
ORD100103,2019-01-04 12:51,Shopee,Shopee,Credit Card,CUST101478,18.25,0,1.28,19.53
ORD100104,2019-01-04 14:38,Lazada,Lazada,GrabPay,CUST102267,20.77,0,1.45,22.22
ORD100105,2019-01-04 18:20,Shopee,Shopee,GrabPay,CUST102840,15.2,0,1.06,16.26
ORD100106,2019-01-04 14:24,Lazada,Lazada,GrabPay,CUST101433,12.76,2.5,1.07,16.33
ORD100107,2019-01-04 18:06,Shopee,Shopee,PayNow,CUST101991,19.25,0,1.35,20.6
ORD100108,2019-01-04 14:19,Website,Website,GrabPay,CUST104292,7.13,0,0.5,7.63
ORD100109,2019-01-04 20:38,Shopee,Shopee,Credit Card,CUST104140,1.73,2.5,0.3,4.53
ORD100111,2019-01-05 16:45,Shopee,Shopee,PayNow,CUST100347,4.86,3.9,0.61,9.37
ORD100114,2019-01-05 18:33,Shopee,Shopee,Credit Card,CUST102087,29.92,3.9,2.37,36.19
ORD100115,2019-01-05 13:42,Lazada,Lazada,Atome,CUST100993,15.75,0,1.1,16.85
ORD100116,2019-01-05 09:00,Lazada,Lazada,PayNow,CUST102052,5,3,0.56,8.56
ORD100117,2019-01-05 21:33,Website,Website,GrabPay,CUST102525,20.09,0,1.41,21.5
ORD100120,2019-01-05 17:00,Lazada,Lazada,ShopeePay,CUST103695,11.92,3,1.04,15.96
ORD100122,2019-01-05 13:49,Lazada,Lazada,Credit Card,CUST102830,0.96,3,0.28,4.24
ORD100123,2019-01-05 10:36,Shopee,Shopee,Atome,CUST103062,8.94,2.5,0.8,12.24
ORD100124,2019-01-05 13:05,Website,Website,Credit Card,CUST104732,5.51,0,0.39,5.9
ORD100125,2019-01-05 14:31,Lazada,Lazada,Credit Card,CUST102011,10.11,3,0.92,14.03
ORD100126,2019-01-05 21:42,Lazada,Lazada,PayNow,CUST104801,12.76,0,0.89,13.65
ORD100127,2019-01-05 10:44,Lazada,Lazada,ShopeePay,CUST102634,4.18,3.9,0.57,8.65
ORD100129,2019-01-05 09:45,Shopee,Shopee,GrabPay,CUST100534,3.2,2.5,0.4,6.1
ORD100130,2019-01-05 10:30,Website,Website,PayNow,CUST101643,32.6,0,2.28,34.88
ORD100131,2019-01-05 11:25,Shopee,Shopee,ShopeePay,CUST102283,13.4,0,0.94,14.34
ORD100132,2019-01-05 14:07,Lazada,Lazada,Atome,CUST100890,11.71,2.5,0.99,15.2
ORD100133,2019-01-05 14:58,Shopee,Shopee,Atome,CUST102702,16.53,3.9,1.43,21.86
ORD100134,2019-01-05 21:07,Lazada,Lazada,PayNow,CUST104039,68.05,3,4.97,76.02
ORD100141,2019-01-05 18:18,Website,Website,ShopeePay,CUST104474,3.36,2.5,0.41,6.27
ORD100143,2019-01-05 10:15,Website,Website,Atome,CUST103803,0.64,3,0.25,3.89
ORD100144,2019-01-05 19:51,GrabMart,GrabMart,Atome,CUST101557,24.44,0,1.71,26.15
ORD100145,2019-01-05 11:24,Website,Website,Atome,CUST102012,3.25,3,0.44,6.69
ORD100146,2019-01-05 15:35,Lazada,Lazada,Atome,CUST102504,6.18,3.9,0.71,10.79
ORD100148,2019-01-05 20:54,Shopee,Shopee,ShopeePay,CUST100401,1.76,0,0.12,1.88
