Order_No,Item Name,Quantity,Unit_Price,Platform,Customer_ID,Payment_Type,Order_Date
ORD000001,Product SKU0117,5,22.43,Shopify,CUST0067,Credit Card,2023-05-28
ORD000002,Product SKU0115,8,18.97,Lazada,CUST0048,COD,2024-02-22
ORD000003,Product SKU0006,2,4.11,Shopee,CUST0120,Credit Card,2023-05-22
ORD000004,Product SKU0083,8,22.03,Shopee,CUST0055,Credit Card,2023-09-29
ORD000005,Product SKU0059,1,9.68,Lazada,CUST0131,Credit Card,2023-12-05
ORD000006,Product SKU0083,7,11.24,Shopee,CUST0103,Credit Card,2023-06-12
ORD000007,Product SKU0127,7,18.03,Shopee,CUST0086,COD,2024-05-15
ORD000008,Product SKU0007,6,2.69,Shopify,CUST0077,COD,2024-08-20
ORD000009,Product SKU0027,6,7.41,Shopify,CUST0061,COD,2024-04-13
ORD000010,Product SKU0055,7,8.05,Lazada,CUST0156,Wallet,2024-04-15
ORD000011,Product SKU0010,5,28.63,Shopify,CUST0081,Credit Card,2024-08-26
ORD000012,Product SKU0091,6,12.99,Shopify,CUST0027,Wallet,2023-12-06
ORD000013,Product SKU0098,1,2.18,Shopee,CUST0186,Credit Card,2024-02-15
ORD000014,Product SKU0121,3,8.03,Lazada,CUST0013,COD,2023-10-19
ORD000015,Product SKU0123,1,24.65,Lazada,CUST0153,Wallet,2024-11-20
ORD000016,Product SKU0097,1,7.76,Shopee,CUST0112,Credit Card,2023-07-25
ORD000017,Product SKU0060,7,19.17,Shopify,CUST0092,Credit Card,2023-02-05
ORD000018,Product SKU0103,6,22.08,Shopee,CUST0176,Credit Card,2024-08-11
ORD000019,Product SKU0056,2,2.87,Shopee,CUST0003,Wallet,2024-07-03
ORD000020,Product SKU0054,5,24.09,Shopee,CUST0078,Credit Card,2024-11-23
ORD000021,Product SKU0044,8,16.27,Lazada,CUST0138,COD,2024-09-05
ORD000022,Product SKU0017,4,14.41,Shopee,CUST0050,Credit Card,2023-12-11
ORD000023,Product SKU0089,6,29.57,Shopify,CUST0131,Wallet,2024-08-24
ORD000024,Product SKU0109,6,8.12,Lazada,CUST0097,Credit Card,2023-06-08
ORD000025,Product SKU0023,6,17.01,Shopee,CUST0109,COD,2023-01-29
ORD000026,Product SKU0098,1,7.53,Shopee,CUST0190,Wallet,2024-01-20
ORD000027,Product SKU0067,7,28.82,Shopee,CUST0101,Credit Card,2023-01-06
ORD000028,Product SKU0059,1,18.61,Lazada,CUST0132,Wallet,2024-07-21
ORD000029,Product SKU0098,4,18.2,Shopify,CUST0148,COD,2023-01-02
ORD000030,Product SKU0081,8,9.98,Shopee,CUST0086,Credit Card,2024-08-30
ORD000031,Product SKU0010,8,5.83,Shopee,CUST0011,Wallet,2023-03-06
ORD000032,Product SKU0040,8,16.39,Lazada,CUST0016,Credit Card,2023-06-22
ORD000033,Product SKU0060,8,19.27,Shopee,CUST0050,COD,2023-09-17
ORD000034,Product SKU0010,2,2.98,Shopify,CUST0119,COD,2024-04-01
ORD000035,Product SKU0086,3,25.93,Shopee,CUST0092,Credit Card,2023-05-05
ORD000036,Product SKU0091,7,27.59,Shopify,CUST0162,COD,2024-03-21
ORD000037,Product SKU0062,7,4.84,Shopee,CUST0055,COD,2023-07-02
ORD000038,Product SKU0014,2,21.52,Shopify,CUST0051,Wallet,2023-11-26
ORD000039,Product SKU0010,1,21.98,Lazada,CUST0121,COD,2023-07-13
ORD000040,Product SKU0040,8,22.04,Lazada,CUST0054,Wallet,2024-08-28
ORD000041,Product SKU0066,4,25.65,Shopee,CUST0034,COD,2024-09-22
ORD000042,Product SKU0037,3,14.87,Lazada,CUST0186,Wallet,2023-05-14
ORD000043,Product SKU0105,3,19.93,Shopee,CUST0066,Wallet,2023-05-05
ORD000044,Product SKU0113,2,16.09,Lazada,CUST0137,COD,2023-09-04
ORD000045,Product SKU0006,8,7.33,Lazada,CUST0169,Wallet,2023-07-25
ORD000046,Product SKU0056,8,2.61,Shopee,CUST0151,COD,2023-01-12
ORD000047,Product SKU0029,1,15.17,Shopee,CUST0065,Wallet,2024-04-15
ORD000048,Product SKU0064,8,2.65,Shopify,CUST0156,COD,2023-04-09
ORD000049,Product SKU0099,3,21.49,Shopify,CUST0077,COD,2023-02-24
ORD000050,Product SKU0096,8,8.62,Lazada,CUST0147,Wallet,2023-04-19
ORD000051,Product SKU0079,7,24.12,Lazada,CUST0098,Wallet,2023-11-05
ORD000052,Product SKU0078,7,5.56,Lazada,CUST0142,Wallet,2023-03-02
ORD000053,Product SKU0076,3,17.5,Shopify,CUST0152,Wallet,2024-12-15
ORD000054,Product SKU0010,2,8.17,Shopee,CUST0101,COD,2023-09-11
ORD000055,Product SKU0018,1,22.94,Lazada,CUST0035,Wallet,2024-12-01
ORD000056,Product SKU0051,5,15.84,Lazada,CUST0090,COD,2023-01-02
ORD000057,Product SKU0035,1,27.78,Lazada,CUST0127,Credit Card,2024-04-23
ORD000058,Product SKU0074,1,4.5,Lazada,CUST0072,COD,2024-02-27
ORD000059,Product SKU0070,7,23.42,Shopify,CUST0098,Credit Card,2024-11-30
ORD000060,Product SKU0079,7,21.88,Shopify,CUST0122,Credit Card,2023-12-14
ORD000061,Product SKU0097,1,11.56,Shopee,CUST0176,Credit Card,2023-09-29
ORD000062,Product SKU0008,4,8.72,Shopee,CUST0028,COD,2024-12-12
