Document_No,Line_No,Item Code,Description,Quantity (Clean),Unit_Price,Line_Discount_Percent,Line_Amount,Net_Amount_Excl_VAT,Posting_Date,Total_Amount_Excl_VAT,Total_VAT_Amount,Total_Amount_Incl_VAT,GST (%),Exchange rate,Sales_Channel,Returns_Refunds,Promo_Flag,Customer_ID
DOC000001,1,CAM-P-B-400G,Baked Pistachios 400g,2,10.21,5,20.42,19.4,2024-04-19,19.4,1.36,20.76,7%,1.0,Shopify,0,N,CUST0041
DOC000002,1,CAM-A-H-135G,Honey Almonds,2,4.85,13,9.7,8.44,2023-01-25,8.44,0.59,9.03,7%,1.0,Shopee,0,Y,CUST0161
DOC000003,1,CAM-MN-BD-135G,Natural Nutty Berries Delight,4,5.22,10,20.88,18.79,2023-05-25,18.79,1.32,20.11,7%,1.0,Lazada,0,Y,CUST0177
DOC000004,1,CAM-DF&-C-200G,Dried Cranberries,8,5.11,13,40.88,35.57,2023-04-22,35.57,2.49,38.06,7%,1.0,Shopee,0,Y,CUST0188
DOC000005,1,CAM-C-H-1KG,Honey Cashews 1kg,3,29.69,8,89.07,81.94,2023-04-14,81.94,5.74,87.68,7%,1.0,Lazada,0,N,CUST0174
DOC000006,1,CAM-C-R-135G,Roasted Cashews,2,4.68,15,9.36,7.96,2024-09-10,7.96,0.56,8.52,7%,1.0,Shopee,0,Y,CUST0113
DOC000007,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,5.15,15,20.6,17.51,2024-11-26,17.51,1.23,18.74,7%,1.0,Shopee,0,Y,CUST0172
DOC000008,1,CAM-A-S-135G,Smoked Almonds,2,5.5,1,11.0,10.89,2023-08-09,10.89,0.76,11.65,7%,1.0,Shopify,1,N,CUST0092
DOC000009,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,6,26.8,4,160.8,154.37,2024-09-17,154.37,10.81,165.18,7%,1.0,Shopify,0,N,CUST0171
DOC000010,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,12,25.36,6,304.32,286.06,2024-11-11,286.06,20.02,306.08,7%,1.0,Lazada,0,N,CUST0044
DOC000011,1,CAM-C-H-1KG,Honey Cashews 1kg,5,26.6,14,133.0,114.38,2024-01-07,114.38,8.01,122.39,7%,1.0,Shopee,0,Y,CUST0010
DOC000012,1,CAM-C-R-135G,Roasted Cashews,2,5.08,5,10.16,9.65,2023-06-27,9.65,0.68,10.33,7%,1.0,Shopify,0,N,CUST0165
DOC000013,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,29.6,15,29.6,25.16,2024-09-21,25.16,1.76,26.92,7%,1.0,Shopee,0,Y,CUST0130
DOC000014,1,CAM-NB-AB-350G,Camel Organic Almond Butter,3,10.14,8,30.42,27.99,2023-05-19,27.99,1.96,29.95,7%,1.0,Lazada,0,N,CUST0082
DOC000015,1,CAM-A-S-135G,Smoked Almonds,5,5.65,3,28.25,27.4,2024-06-20,27.4,1.92,29.32,7%,1.0,Shopify,0,N,CUST0196
DOC000016,1,CAM-NB-WB-350G,Camel Organic Walnut Butter,3,9.95,14,29.85,25.67,2024-03-01,25.67,1.8,27.47,7%,1.0,Shopee,0,Y,CUST0004
DOC000017,1,CAM-C-H-1KG,Honey Cashews 1kg,2,25.06,12,50.12,44.11,2024-11-28,44.11,3.09,47.2,7%,1.0,Lazada,0,Y,CUST0078
DOC000018,1,CAM-MN-BD-135G,Natural Nutty Berries Delight,3,5.63,3,16.89,16.38,2023-06-07,16.38,1.15,17.53,7%,1.0,Shopify,0,N,CUST0185
DOC000019,1,CAM-P-S-135G,Sugar Peanuts,3,1.67,4,5.01,4.81,2024-08-29,4.81,0.34,5.15,7%,1.0,Shopify,1,N,CUST0027
DOC000020,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,26.42,13,52.84,45.97,2024-01-09,45.97,3.22,49.19,7%,1.0,Shopee,0,Y,CUST0173
DOC000021,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,27.31,2,54.62,53.53,2023-06-07,53.53,3.75,57.28,7%,1.0,Shopify,0,N,CUST0094
DOC000022,1,CAM-A-NB-36G,Natural Baked Almonds Mini 36g,2,1.49,6,2.98,2.8,2023-04-05,2.8,0.2,3.0,7%,1.0,Lazada,0,N,CUST0165
DOC000023,1,CAM-DF&-M-200G,Dried Mango,6,4.89,9,29.34,26.7,2023-12-31,26.7,1.87,28.57,7%,1.0,Lazada,0,N,CUST0106
DOC000024,1,CAM-P-GS-135G,Garlic Shandong Groundnuts,4,1.96,14,7.84,6.74,2024-02-08,6.74,0.47,7.21,7%,1.0,Shopee,0,Y,CUST0183
DOC000025,1,CAM-DF&-C-200G,Dried Cranberries,2,5.03,15,10.06,8.55,2023-04-22,8.55,0.6,9.15,7%,1.0,Shopee,1,Y,CUST0086
DOC000026,1,CAM-C-H-1KG,Honey Cashews 1kg,2,28.76,13,57.52,50.04,2023-01-07,50.04,3.5,53.54,7%,1.0,Shopee,0,Y,CUST0015
DOC000027,1,CAM-P-B-400G,Baked Pistachios 400g,1,9.6,15,9.6,8.16,2023-12-19,8.16,0.57,8.73,7%,1.0,Shopee,0,Y,CUST0054
DOC000028,1,CAM-C-H-1KG,Honey Cashews 1kg,3,29.5,6,88.5,83.19,2024-05-31,83.19,5.82,89.01,7%,1.0,Lazada,0,N,CUST0122
DOC000029,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,1,5.12,7,5.12,4.76,2024-11-24,4.76,0.33,5.09,7%,1.0,Lazada,0,N,CUST0159
DOC000030,1,CAM-MN-CM-135G,Natural Cocktail Mix,7,5.06,13,35.42,30.82,2024-02-28,30.82,2.16,32.98,7%,1.0,Shopee,0,Y,CUST0106
DOC000031,1,CAM-C-H-135G,Honey Cashews,1,4.79,10,4.79,4.31,2024-11-23,4.31,0.3,4.61,7%,1.0,Shopee,0,Y,CUST0095
DOC000032,1,CAM-C-R-135G,Roasted Cashews,7,4.82,7,33.74,31.38,2024-10-29,31.38,2.2,33.58,7%,1.0,Lazada,0,N,CUST0127
DOC000033,1,CAM-C-H-135G,Honey Cashews,3,4.92,5,14.76,14.02,2023-05-23,14.02,0.98,15.0,7%,1.0,Lazada,0,N,CUST0126
DOC000034,1,CAM-A-H-36G,Honey Almonds Mini 36g,6,1.49,2,8.94,8.76,2024-10-30,8.76,0.61,9.37,7%,1.0,Shopify,0,N,CUST0181
