Date,Session_Primary_Channel_Group,Sessions,Impressions,Clicks,CTR(%),Conversion_Rate(%),Attributed_Sales,Marketing_Spend,ROAS
2023-01-01,Social (FB/IG),89,1246,32,2.57,3.48,105.31,143.94,0.73
2023-01-01,Direct,57,114,9,7.89,2.11,26.08,0.0,0.0
2023-01-02,Lazada Ads,101,1919,42,2.19,3.28,107.39,744.53,0.14
2023-01-02,Paid Search (Google Ads),81,1053,10,0.95,4.69,137.96,465.63,0.3
2023-01-02,Shopee Ads,93,1395,34,2.44,4.61,164.76,509.3,0.32
2023-01-02,Organic Search,64,256,13,5.08,3.49,68.19,0.0,0.0
2023-01-02,Paid Search (Google Ads),79,1501,8,0.53,2.15,29.51,358.68,0.08
2023-01-02,Direct,96,192,10,5.21,3.38,97.24,0.0,0.0
2023-01-02,Paid Search (Google Ads),60,840,7,0.83,3.1,42.37,449.72,0.09
2023-01-03,Lazada Ads,121,1331,17,1.28,1.19,43.82,375.55,0.12
2023-01-03,Paid Search (Google Ads),77,1001,11,1.1,1.03,0.0,498.12,0.0
2023-01-04,Email,20,80,5,6.25,3.24,0.0,690.21,0.0
2023-01-05,Shopee Ads,78,1482,15,1.01,1.07,0.0,946.52,0.0
2023-01-05,Referral,35,70,8,11.43,4.1,34.88,0.0,0.0
2023-01-05,Paid Search (Google Ads),118,2242,30,1.34,1.39,38.49,649.85,0.06
2023-01-05,Referral,39,156,10,6.41,3.9,30.02,0.0,0.0
2023-01-06,Paid Search (Google Ads),40,400,3,0.75,2.98,37.88,637.66,0.06
2023-01-06,Social (FB/IG),94,1598,9,0.56,2.32,76.02,726.23,0.1
2023-01-06,Social (FB/IG),145,2755,51,1.85,1.35,29.01,167.68,0.17
2023-01-07,Shopee Ads,125,1250,17,1.36,2.55,101.75,556.16,0.18
2023-01-07,Social (FB/IG),179,3222,77,2.39,3.47,258.98,404.34,0.64
2023-01-07,Lazada Ads,173,3114,64,2.06,1.69,99.0,551.6,0.18
2023-01-07,Email,28,112,6,5.36,3.74,20.88,357.45,0.06
2023-01-07,Referral,28,56,7,12.5,2.53,0.0,0.0,0.0
2023-01-07,Paid Search (Google Ads),72,1080,14,1.3,1.2,0.0,754.75,0.0
2023-01-08,Social (FB/IG),75,975,16,1.64,1.18,0.0,996.73,0.0
2023-01-08,Referral,43,172,6,3.49,3.63,36.48,0.0,0.0
2023-01-08,Email,36,108,8,7.41,2.83,29.23,155.8,0.19
2023-01-08,Email,29,87,7,8.05,5.0,44.16,265.39,0.17
2023-01-09,Paid Search (Google Ads),63,693,7,1.01,3.04,38.9,974.22,0.04
2023-01-09,Lazada Ads,83,1328,21,1.58,2.06,37.44,966.02,0.04
2023-01-09,Organic Search,130,260,15,5.77,3.68,180.01,0.0,0.0
2023-01-09,Direct,78,156,16,10.26,2.14,26.49,0.0,0.0
2023-01-09,Social (FB/IG),147,2499,14,0.56,3.01,115.35,861.84,0.13
2023-01-10,Lazada Ads,72,1008,27,2.68,4.9,125.96,417.01,0.3
2023-01-10,Email,29,58,6,10.34,1.6,0.0,841.61,0.0
2023-01-10,Lazada Ads,142,2272,34,1.5,4.52,248.99,383.0,0.65
2023-01-10,Paid Search (Google Ads),91,910,11,1.21,2.54,67.13,654.19,0.1
2023-01-10,Shopee Ads,189,3213,55,1.71,2.14,127.73,561.39,0.23
2023-01-11,Social (FB/IG),117,2223,55,2.47,4.81,159.4,634.34,0.25
2023-01-11,Social (FB/IG),96,960,11,1.15,1.33,37.86,258.56,0.15
2023-01-11,Shopee Ads,110,1210,16,1.32,3.26,97.73,550.38,0.18
2023-01-12,Referral,48,192,4,2.08,1.2,0.0,0.0,0.0
2023-01-12,Referral,21,63,4,6.35,3.08,0.0,0.0,0.0
2023-01-12,Lazada Ads,138,2484,35,1.41,1.27,44.12,325.67,0.14
2023-01-13,Paid Search (Google Ads),78,1014,15,1.48,3.66,94.41,647.88,0.15
2023-01-13,Paid Search (Google Ads),43,731,6,0.82,4.8,83.48,338.64,0.25
2023-01-13,Organic Search,129,387,33,8.53,2.7,134.08,0.0,0.0
2023-01-13,Social (FB/IG),131,2489,21,0.84,3.4,144.62,616.24,0.23
2023-01-13,Organic Search,57,228,9,3.95,4.76,65.98,0.0,0.0
2023-01-14,Referral,36,108,4,3.7,1.39,0.0,0.0,0.0
2023-01-14,Paid Search (Google Ads),43,645,16,2.48,1.59,0.0,552.14,0.0
2023-01-14,Lazada Ads,113,1808,33,1.83,3.23,120.5,705.53,0.17
2023-01-15,Email,30,120,8,6.67,2.62,0.0,316.4,0.0
2023-01-15,Lazada Ads,133,2527,50,1.98,3.86,130.6,398.11,0.33
2023-01-15,Referral,33,132,7,5.3,3.59,26.77,0.0,0.0
2023-01-15,Shopee Ads,91,1365,31,2.27,4.71,97.51,448.22,0.22
2023-01-15,Shopee Ads,161,2898,42,1.45,4.06,252.81,445.18,0.57
2023-01-16,Paid Search (Google Ads),117,1989,50,2.51,4.16,137.44,505.82,0.27
2023-01-16,Paid Search (Google Ads),70,1120,12,1.07,1.19,0.0,494.11,0.0
2023-01-16,Email,19,38,5,13.16,2.54,0.0,906.47,0.0
2023-01-16,Email,14,28,2,7.14,4.62,0.0,913.39,0.0
2023-01-16,Social (FB/IG),83,1494,24,1.61,1.27,41.74,969.25,0.04
2023-01-16,Direct,84,252,12,4.76,2.31,23.23,0.0,0.0
2023-01-16,Referral,29,116,5,4.31,1.79,0.0,0.0,0.0
2023-01-17,Social (FB/IG),88,968,22,2.27,1.78,35.39,168.13,0.21
2023-01-17,Social (FB/IG),105,1890,41,2.17,1.54,40.97,647.17,0.06
2023-01-18,Organic Search,115,230,30,13.04,2.19,52.21,0.0,0.0
2023-01-19,Paid Search (Google Ads),48,720,7,0.97,1.51,0.0,581.64,0.0
2023-01-19,Shopee Ads,88,1408,36,2.56,1.46,32.34,656.91,0.05
2023-01-20,Lazada Ads,96,1056,14,1.33,1.34,30.74,904.2,0.03
2023-01-20,Email,31,93,8,8.6,3.49,38.58,646.14,0.06
2023-01-21,Email,21,63,5,7.94,3.61,0.0,880.01,0.0
2023-01-21,Shopee Ads,100,1700,32,1.88,3.06,144.8,170.64,0.85
2023-01-21,Shopee Ads,81,1296,30,2.31,4.91,76.49,169.59,0.45
2023-01-21,Paid Search (Google Ads),117,1404,14,1.0,1.85,45.79,518.34,0.09
2023-01-21,Organic Search,140,280,41,14.64,4.69,296.09,0.0,0.0
2023-01-21,Paid Search (Google Ads),114,1140,25,2.19,4.55,159.66,885.04,0.18
2023-01-22,Lazada Ads,95,1710,48,2.81,1.7,48.37,675.1,0.07
2023-01-22,Social (FB/IG),104,1352,40,2.96,2.36,62.92,459.01,0.14
2023-01-22,Email,13,39,2,5.13,2.44,0.0,176.24,0.0
2023-01-22,Email,30,90,6,6.67,1.7,0.0,218.19,0.0
2023-01-22,Lazada Ads,110,1430,30,2.1,4.25,159.3,618.97,0.26
2023-01-23,Direct,67,268,14,5.22,3.21,94.36,0.0,0.0
2023-01-23,Social (FB/IG),151,2265,57,2.52,1.46,93.83,102.29,0.92
2023-01-23,Shopee Ads,75,1050,27,2.57,2.98,61.15,389.94,0.16
2023-01-23,Referral,39,156,11,7.05,3.69,24.03,0.0,0.0
2023-01-23,Direct,34,102,9,8.82,4.12,20.85,0.0,0.0
2023-01-24,Referral,44,132,5,3.79,2.17,0.0,0.0,0.0
2023-01-24,Direct,65,260,16,6.15,4.5,82.7,0.0,0.0
2023-01-24,Direct,82,164,13,7.93,1.97,47.34,0.0,0.0
2023-01-25,Shopee Ads,117,1287,30,2.33,2.23,60.24,492.35,0.12
2023-01-25,Social (FB/IG),133,2527,69,2.73,2.52,113.21,945.1,0.12
2023-01-25,Paid Search (Google Ads),117,2106,10,0.47,2.55,58.14,613.25,0.09
2023-01-25,Referral,58,232,9,3.88,1.55,0.0,0.0,0.0
2023-01-25,Social (FB/IG),86,1376,37,2.69,1.48,36.84,737.5,0.05
2023-01-26,Email,38,114,4,3.51,4.93,24.04,991.54,0.02
2023-01-26,Referral,48,96,13,13.54,2.48,49.04,0.0,0.0
2023-01-26,Email,38,114,10,8.77,3.14,38.53,496.93,0.08
2023-01-26,Email,38,114,4,3.51,2.5,0.0,993.87,0.0
2023-01-26,Email,22,88,5,5.68,2.74,0.0,814.01,0.0
2023-01-26,Direct,97,194,21,10.82,4.88,197.63,0.0,0.0
2023-01-27,Direct,33,132,4,3.03,2.3,0.0,0.0,0.0
2023-01-27,Lazada Ads,171,2907,44,1.51,1.58,46.69,349.3,0.13
2023-01-27,Direct,71,284,17,5.99,1.45,25.56,0.0,0.0
2023-01-27,Lazada Ads,168,1680,16,0.95,2.8,108.36,870.71,0.12
2023-01-27,Organic Search,58,116,10,8.62,4.76,72.66,0.0,0.0
2023-01-28,Email,18,72,5,6.94,3.95,0.0,378.53,0.0
2023-01-28,Lazada Ads,175,1750,26,1.49,3.48,235.82,530.58,0.44
2023-01-28,Lazada Ads,169,2704,39,1.44,2.33,149.14,795.81,0.19
2023-01-29,Referral,41,164,10,6.1,2.39,0.0,0.0,0.0
2023-01-29,Email,23,92,3,3.26,3.6,0.0,469.73,0.0
2023-01-29,Lazada Ads,95,1045,19,1.82,4.7,109.72,798.35,0.14
2023-01-29,Email,18,72,3,4.17,4.48,0.0,420.02,0.0
2023-01-29,Social (FB/IG),142,2130,58,2.72,4.69,146.39,411.29,0.36
2023-01-29,Shopee Ads,158,2054,33,1.61,4.37,210.05,361.29,0.58
2023-01-30,Social (FB/IG),114,1596,10,0.63,3.96,127.67,112.55,1.13
2023-01-30,Lazada Ads,177,1947,19,0.98,2.62,156.37,645.87,0.24
2023-01-30,Organic Search,79,158,16,10.13,4.09,118.01,0.0,0.0
2023-01-30,Lazada Ads,141,1974,16,0.81,4.12,102.93,418.93,0.25
